Population,BMI,L_initial,a_initial,b_initial
AMKO,0.913761665,38.88469286,2.683470984,6.598325616
AMKO,1.094209289,43.96814959,3.999215133,9.271493037
AMKO,0.781205991,40.05452094,3.502004028,6.794817826
AMKO,0.826640928,40.23902229,2.641675988,16.24683479
AMKO,0.773668275,39.30459313,3.79004118,13.87042952
AMKO,0.778164854,38.79449245,3.490423915,12.27016314
AMKO,0.993955413,37.27482775,2.123284963,7.271793978
AMKO,0.83052671,37.23536748,4.034577539,10.76861815
AMKO,0.953912289,42.58694688,2.105050886,15.31172965
AMKO,0.828483565,42.70009975,3.169655887,18.04772785
AMKO,0.805012136,39.90518093,1.899705626,9.873834434
AMKO,0.783834575,43.74976824,4.056982736,18.17947088
AMKO,0.825408199,42.72566349,4.251781715,15.0017941
AMKO,0.913625465,41.66645064,2.911387783,8.006390829
AMKO,0.780351793,39.46718726,2.414775164,6.530473581
AMKO,0.836345302,40.67916233,3.034004806,9.373287981
AMKO,0.911642339,41.35682288,2.307570609,7.711168394
AMKO,0.778580561,42.45246249,4.116425298,17.01574336
AMKO,0.867812523,40.18112912,2.597837701,8.882048877
AMKO,0.86735192,38.50398349,2.483017398,7.002711961
AMKO,0.924719834,45.8765635,3.660924728,13.7602549
AMKO,0.773748046,41.21171705,4.07533361,13.89335515
AMKO,0.822607051,39.08947058,3.596231136,15.03780475
AMKO,0.811204733,43.51956422,3.883010138,15.40106866
AMKO,0.784384397,41.96568708,2.998247653,12.20463865
AMKO,0.915090121,44.12904222,2.675584767,15.01481056
AMKO,0.773949793,44.36963963,3.042178717,17.63589895
AMKO,0.877780369,38.40144411,2.239991082,7.811997408
AMKO,0.785480529,40.66879116,2.080063515,12.750827
AMKO,0.772758083,36.82391427,2.957125095,7.115832642
AMKO,0.77714071,35.10016789,3.573001902,8.566583725
AMKO,0.803985238,39.54497563,3.478144008,12.83624836
AMKO,0.856277263,43.60294879,3.921638456,13.92979934
AMKO,0.856760027,40.71645007,3.856850457,9.097973792
AMKO,0.785645607,35.55239177,2.638136446,6.601502387
AMKO,0.829649011,38.46516905,2.158723742,13.62703401
AMKO,0.937713451,39.92256618,2.710933948,11.87011
AMKO,0.818997228,35.52109962,2.44409824,8.122673178
AMKO,0.916910496,45.3327324,2.2062967,15.67385557
AMKO,0.772693124,39.74290297,1.542146212,7.147227148
AMKO,0.815236547,34.6433196,0.403888507,7.825369879
AMKO,0.95608573,43.72478136,3.471983355,14.32632619
AMKO,0.772805433,44.17564696,3.252067507,14.25664106
AMKO,0.772685356,37.37436844,4.143883894,7.193430825
AMKO,0.898312801,41.36779499,2.786979687,13.82025397
AMKO,0.821610978,41.34269701,3.343930968,9.245036215
AMKO,0.830143518,40.48934678,2.448262284,7.485805746
AMKO,0.87459184,43.54005421,2.382069167,15.55078637
AMKO,0.930298709,42.96746442,3.099123642,14.8528899
AMKO,0.880234598,42.36314626,1.339042673,17.03378297
AMHP,1.236739917,43.20804918,2.577302599,12.82160698
AMHP,1.142038118,43.66502542,1.349963984,9.571116419
AMHP,1.089681789,42.83834748,2.004737366,8.563529082
AMHP,1.080660237,42.75084118,1.664351328,10.23763163
AMHP,1.390540675,44.51145361,1.607628917,6.774237891
AMHP,0.798958617,39.81991982,1.645195542,6.245432367
AMHP,0.78248215,37.87679461,1.044507836,7.317790873
